name,version,type,license,category
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"Simple Launcher","1.1.0.14","binary","UNKNOWN","unknown"
"acl","2.4.0-2.el9","rpm","GPLv2+","copyleft"
"adal","1.2.7","python","MIT","permissive"
"aiodns","3.5.0","python","MIT","permissive"
"aiofiles","24.1.0","python","Apache-2.0","permissive"
"aiohappyeyeballs","2.6.1","python","PSF-2.0","permissive"
"aiohttp","3.14.1","python","Apache-2.0 AND MIT","permissive"
"aiohttp-retry","2.9.1","python","MIT","permissive"
"aiosignal","1.4.0","python","Apache 2.0","permissive"
"alternatives","1.24-2.el9","rpm","GPL-2.0-only","copyleft"
"ansi2html","1.9.2","python","LGPLv3+","weak-copyleft"
"ansible-runner","2.4.1.dev64+g27bdfc3b4","python","Apache-2.0","permissive"
"apr","1.7.0-12.el9","rpm","ASL 2.0 and BSD with advertising and ISC and BSD","permissive"
"apr-util","1.6.1-23.el9","rpm","ASL 2.0","permissive"
"apr-util-bdb","1.6.1-23.el9","rpm","ASL 2.0","permissive"
"apr-util-openssl","1.6.1-23.el9","rpm","ASL 2.0","permissive"
"asgiref","3.11.0","python","BSD-3-Clause","permissive"
"asn1","3.1.0","python","BSD","permissive"
"attr","2.6.0-2.el9","rpm","GPLv2+","copyleft"
"attrs","25.4.0","python","MIT","permissive"
"audit-libs","3.1.5-8.el9","rpm","LGPLv2+","weak-copyleft"
"autobahn","24.4.2","python","MIT License","permissive"
"autocommand","2.2.2","python","LGPLv3","weak-copyleft"
"autocommand","2.2.2","python","LGPLv3","weak-copyleft"
"automat","25.4.16","python","MIT","permissive"
"awx","25.0.0.dev0","python","UNKNOWN","unknown"
"awx-plugins-core","0.2.0a1.dev7+g7c6a7cf97","python","Apache-2.0","permissive"
"awx-plugins-interfaces","0.0.1a6.dev599+gb52a9f809","python","Apache-2.0","permissive"
"azure-core","1.35.1","python","MIT License","permissive"
"azure-identity","1.25.1","python","MIT","permissive"
"azure-keyvault","4.2.0","python","MIT License","permissive"
"azure-keyvault-certificates","4.10.0","python","MIT License","permissive"
"azure-keyvault-keys","4.11.0","python","MIT License","permissive"
"azure-keyvault-secrets","4.10.0","python","MIT License","permissive"
"backports-tarfile","1.2.0","python","MIT","permissive"
"backports-zstd","1.6.0","python","PSF-2.0","permissive"
"basesystem","11-13.el9","rpm","Public Domain","permissive"
"bash","5.1.8-9.el9","rpm","GPLv3+","copyleft"
"boto3","1.40.46","python","Apache License 2.0","permissive"
"botocore","1.40.46","python","Apache License 2.0","permissive"
"brotli","1.2.0","python","MIT","permissive"
"build","1.5.0","python","MIT","permissive"
"bzip2-libs","1.0.8-11.el9","rpm","BSD","permissive"
"ca-certificates","2025.2.80_v9.0.305-91.el9","rpm","MIT AND GPL-2.0-or-later","copyleft"
"cachetools","6.2.0","python","MIT","permissive"
"centos-gpg-keys","9.0-38.el9","rpm","GPLv2","copyleft"
"centos-logos-httpd","90.9-1.el9","rpm","Licensed only for approved usage, see COPYING for details.","permissive"
"centos-stream-release","9.0-38.el9","rpm","GPLv2","copyleft"
"centos-stream-repos","9.0-38.el9","rpm","GPLv2","copyleft"
"certifi","2038.12.31","python","Mozilla Public License 2.0","permissive"
"cffi","2.0.0","python","MIT","permissive"
"channels","4.3.1","python","BSD","permissive"
"channels-redis","4.3.0","python","BSD","permissive"
"charset-normalizer","3.4.3","python","MIT","permissive"
"cli","UNKNOWN","binary","UNKNOWN","unknown"
"cli-32","UNKNOWN","binary","UNKNOWN","unknown"
"cli-64","UNKNOWN","binary","UNKNOWN","unknown"
"cli-arm64","UNKNOWN","binary","UNKNOWN","unknown"
"click","8.1.8","python","BSD-3-Clause","permissive"
"constantly","23.10.4","python","MIT","permissive"
"coreutils-single","8.32-43.el9","rpm","GPLv3+","copyleft"
"cracklib","2.9.6-28.el9","rpm","LGPLv2+","weak-copyleft"
"cracklib-dicts","2.9.6-28.el9","rpm","LGPLv2+","weak-copyleft"
"crypto-policies","20260714-1.git65b74f7.el9","rpm","LGPL-2.1-or-later","weak-copyleft"
"crypto-policies-scripts","20260714-1.git65b74f7.el9","rpm","LGPL-2.1-or-later","weak-copyleft"
"cryptography","46.0.3","python","Apache-2.0 OR BSD-3-Clause","permissive"
"curl-minimal","7.76.1-43.el9","rpm","MIT","permissive"
"cyrus-sasl-lib","2.1.27-21.el9","rpm","BSD with advertising","permissive"
"cython","3.1.3","python","Apache-2.0","permissive"
"daphne","4.2.2","python","BSD","permissive"
"dbus","1:1.12.20-10.el9","rpm","(GPLv2+ or AFL) and GPLv2+","copyleft"
"dbus-broker","28-9.el9","rpm","ASL 2.0","permissive"
"dbus-common","1:1.12.20-10.el9","rpm","(GPLv2+ or AFL) and GPLv2+","copyleft"
"dbus-libs","1:1.12.20-10.el9","rpm","(GPLv2+ or AFL) and GPLv2+","copyleft"
"dbus-python","1.2.18","python","Expat (MIT/X11)","permissive"
"dejavu-sans-fonts","2.37-18.el9","rpm","Bitstream Vera and Public Domain","permissive"
"dispatcherd","2026.3.25","python","Apache-2.0","permissive"
"distlib","0.4.3","python","PSF-2.0","permissive"
"distro","1.9.0","python","Apache License, Version 2.0","permissive"
"django","5.2.8","python","BSD-3-Clause","permissive"
